MSBNK-mFam-MC01_000023,C[C@H](CN1)CC[C@H]1[C@@H](C)[C@@]2([H])[C@@H](O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(3S,5S,8R,9S,10S,13S,14S,16S,17R)-10,13-dimethyl-17-((S)-1-((2S,5S)-5-methylpiperidin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000024,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@H](OC(C)=O)[C@]4([H])[C@H](C)[C@@H]5C(C[C@@H](C)CN5)=O)([H])C[C@@H](OC(C)=O)CC1,"(3S,5S,8R,9S,10S,13S,14S,16S,17R)-10,13-dimethyl-17-((S)-1-((2R,5R)-5-methyl-3-oxopiperidin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diyl diacetate",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000025,C[C@@H](CN1)CC[C@@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(3S,5S,8R,9S,10S,13S,14S,17S)-17-((R)-1-hydroxy-1-((2R,5R)-5-methylpiperidin-2-yl)ethyl)-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-3-yl acetate",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000026,C[C@@H](CN1)CC[C@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25R)-3beta-Acetoxy-22,26-epimino-5alpha-cholestan-20-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000027,C[C@H](CN1)CC[C@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25S)-3beta-Acetoxy-22,26-epimino-5alpha-cholestan-20-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000028,C[C@H](CN1C(C)=O)CC[C@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25S)-3beta-Acetoxy-22,26-acetimino-5alpha-cholestan-20-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000029,C[C@@H](CN1)CC[C@@H]1[C@](C)(O)[C@H]2[C@@H](OC(C)=O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22R,25R)-3beta,16beta-Diacetoxy-22,26-epimino-5alpha-cholestan-20-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000030,CC(CN1)CCC1[C@](C)(O)[C@H]2[C@@H](OC(C)=O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R)-3beta,16beta-Diacetoxy-20-(5-methyl-pyridyl)-5alpha-pregnan-20-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000031,C[C@@H](CN1C(C)=O)CC[C@@H]1[C@](C)(O)[C@H]2[C@@H](O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22R,25R)-3beta-Acetoxy-22,26-acetimino-5alpha-cholestan-16beta,20-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000032,C[C@H](CN1)CC[C@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25S)-22,26-Epimino-5alpha-cholestan-3beta,20-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000033,C[C@H](CN1)CC[C@H]1[C@](C)(O)[C@H]2[C@H](O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25S)-22,26-Epimino-5alpha-cholestan-3beta,16alpha-20-triol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000034,C[C@@H](CN1)CC[C@H]1[C@@H](C)[C@H]2[C@@H](O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(22S,25R)-22,26-Imino-5alpha-cholestan-3beta,16beta-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000035,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](O)[C@]4([H])[C@H](C)C5=NC=C(C)C=C5)([H])C[C@@H](O)CC1,"(20S)-20-(5-methyl-pyridyl-2)-5alpha-pregnan-3beta, 16alpha-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000036,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](OC(C)=O)[C@]4([H])[C@H](C)C5=NC=C(C)C=C5)([H])C[C@@H](OC(C)=O)CC1,"(20S)-3beta, 16alpha-Diacetoxy-20-(5-methyl-pyridyl-2)-5alpha-pregnan",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000037,C[C@@H](CN1)CC[C@H]1[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(22S,25R)-22,26-Imino-5alpha-cholestan-3beta-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000038,C[C@H]1CCC([C@@H](C)[C@H]2[C@@H](OC(C)=O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C)=NC1,"(25S)-3beta,16beta-Diacetoxy-22,26-imino-5alpha-cholest-22(N)-en",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000039,C[C@H](CN1N=O)CC[C@H]1[C@@H](C)[C@H]2[C@@H](O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(22S,25S)-N-Nitroso-22,26-imino-5alpha-cholestan-3beta,16beta-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000040,O=C1CC[C@@]2(C)[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])C[C@@]([H])(O[C@@](C[C@H](C)CN5)(O)[C@@]5([H])[C@H]6C)[C@@]46[H])([H])C1,"22,26-Epimino-23alpha-hydroxy-16beta, 23-epoxy-5alpha, 22alphaH, 25betaH-cholestan-3-on",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000041,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)O)C)C)C)OC1,tigogenin,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000042,C[C@@]12[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])C[C@@]([H])(O[C@](C[C@@H](C)CN5C(C)=O)(O)[C@@]5([H])[C@H]6C)[C@@]46[H])([H])C[C@@H](OC(C)=O)CC1,N-Acetyl-3-desamino-3beta-acetoxy-solanocapsin,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000043,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]3([H])C[C@@]5([H])[C@]4([H])[C@H](C)[C@@]6(N(C(C)=O)C[C@@H](C)CC6=O)O5)([H])C[C@@H](OC(C)=O)CC1,Diacetyl-23-keto-pseudodulciden B,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000044,CC1CCC2C(C3C(N2C1)CC4C3(CCC5C4CCC6C5(CCC(C6)O)C)C)C,Demissidine,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000045,C[C@@]12[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])C[C@@]([H])(O[C@](C[C@@H](C)CN5C)(OC)[C@@]5([H])[C@H]6C)[C@@]46[H])([H])C[C@@H](NC)CC1,Trimethylsolanocapsin,ION_MODE NEGATIVE
